latitude,longitude,elevation,distance,hike_city,gain,loss,pace_dist,pace_gain,FME,facilities
43.81404,10.67615,19,0.028,,0,-0.2,3,300,0:00,
43.81371,10.67628,18.7,0.038,,0,-0.3,3,300,0:00,
43.81359,10.67643,19,0.018,,0.3,0,3,300,0:00,
43.8131,10.67668,19,0.058,,0,0,3,300,0:01,
43.8125,10.67702,20,0.072,,1,0,3,300,0:01,
43.81212,10.67725,20,0.046,,0,0,3,300,0:00,
43.81169,10.67748,20,0.051,,0,0,3,300,0:01,
43.81149,10.67768,20,0.028,,0,0,3,300,0:00,
43.81133,10.67797,20,0.029,,0,0,3,300,0:00,
43.81052,10.67941,20,0.147,,0,0,3,300,0:02,
43.81014,10.68018,20,0.075,,0,0,3,300,0:01,
43.80892,10.68252,21,0.232,,1,0,3,300,0:04,
43.80852,10.6832,21,0.07,,0,0,3,300,0:01,
43.80736,10.68517,22,0.204,,1,0,3,300,0:04,
43.80613,10.68721,23,0.214,,1,0,3,300,0:04,
43.80562,10.68787,22.2,0.078,,0,-0.8,3,300,0:01,
43.80568,10.68837,22.9,0.04,,0.7,0,3,300,0:00,
43.80547,10.68872,23,0.037,,0.1,0,3,300,0:00,
43.80517,10.68874,23,0.033,,0,0,3,300,0:00,
43.80499,10.68826,23,0.044,,0,0,3,300,0:00,
43.80425,10.68763,23,0.097,,0,0,3,300,0:01,
43.80354,10.68722,24,0.085,,1,0,3,300,0:01,
43.80291,10.68679,24,0.078,,0,0,3,300,0:01,
43.80239,10.68626,23.1,0.072,,0,-0.9,3,300,0:01,
43.80178,10.68587,22.1,0.075,,0,-1,3,300,0:01,
43.8013,10.68547,21.5,0.062,,0,-0.6,3,300,0:01,
43.801,10.68542,20.8,0.033,,0,-0.7,3,300,0:00,
43.80055,10.6856,19.1,0.053,,0,-1.7,3,300,0:01,
43.80006,10.68549,19,0.055,,0,-0.1,3,300,0:01,
43.79969,10.68557,20,0.041,,1,0,3,300,0:01,
43.7993,10.68524,21.1,0.051,,1.1,0,3,300,0:01,
43.7991,10.68475,22.9,0.045,,1.8,0,3,300,0:01,
43.79875,10.68484,23.3,0.04,,0.4,0,3,300,0:00,
43.79823,10.68519,22.7,0.064,,0,-0.6,3,300,0:01,
43.79725,10.6858,23.9,0.12,,1.2,0,3,300,0:02,
